Course,Campus,Term,Section,Invited,Responded,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Q9 mean,Q10 mean,Q11 mean,Median1,Median2,Median3,Median4,Median5,Median6,Mode1,Mode2,Mode3,Mode4,Mode5,Mode6,StdDev1,StdDev2,StdDev3,StdDev4,StdDev5,StdDev6,A2,C2,D2,D4,E1,E2,E3,Comment for Q7,Comment for Q8
Leadership Skills,UTSC,,LEC02,[],[],3.1,2.8,2.9,2.7,2.8,2.5,2.8,3.1,2.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b""b'The topics covered on the course were interesting, however, they were very briefly introduced in class.Professor was horrible and the assignments that she gave were unfair.The course itself was fine because of the many uses of the information taught in this course. However, most of thecourse was mainly self studies, there was not a need for the lecture to be video taped.goodI think the prof should spend more time on the content in the chapter instead of let us doing research, since i can t feelthat the research is strongly related to the course -,- .The lectures are boring and useless. We can get a high mark in the midterm and final just by reciting the book and herlecture notes. The way she gives mark on group presentation is not really fair.Lectures were vague and not useful, the textbook provided better quality information.goodThe overall quality of the course was really good.Her lectures were covering too little from what is in the textbook. She did not make any announcements when therewere changes on the blackboard so many of the times I was unaware of things I had to do. Her weekly homeworkswere especially not announced so it was very easy to miss them.8. Please comment on any assistance that was available to support your learning in thiscourse.'""","b'b""Commentthe ta\'s and assistants were very helpfulThe professor and TA\'s were not approachable. I was afraid to ask a question for clarity since both would answer incondescending ways. Their answers never answered my question, in fact, they made my question seem morecomplicated and provided irrelevant answers.goodThere were lectures where we spent time in finance labs to do our assignments and ask any questions if needed. Ireally appreciated the help which was provided.""'"
Organizational Behaviour,UTSC,Fall_2015,LEC03,53,13,3.4,3.5,3.5,3.4,3.4,3.1,3.1,3.2,2.8,3,4,4,4,3,3,3,4,4,4,"3,4",3,1,1,0.9,0.9,0.9,0.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b""Mostly a memorizing or textbook-rigorous course. I felt that I didn't learn a lot because there was so much material thatwere covered (information overload). The activities that the professor provided did help enhance understanding of topicthough.often upload things at the very last momentdont have time to check ob blackboardGoodAssignments were not clearly explained, overall quality of the learning was mediocre.There were plenty of cases and in class questions where topics were discussed and applied to the real world.Overall, I liked the use of examples to connect concepts with real life scenarios (both the prof's examples and examplesthat stemmed from participation). Although I did not mind it much, some of my classmates mentioned that Prof. R usedtoo many examples relating to her son.It was good.8. Please comment on any assistance that was available to support your learning in thiscourse.""","b'CommentRecording of videos was greatly appreciated.TAThe slides provided basic idea of concepts, but no explored in too much depth.There were workshops that helped us with our assignments and group presentations for research and contentpurposes.Emails that sent to the professor.'"
Negotiation Skills,UTM,Winter_2013,LEC6001,43,16,3.3,3.3,3.6,3,3.1,3,3.1,3.2,3.2,4,4,4,3,3,3,4,4,4,"2,",2,"2,",1.4,1.4,1.3,N/A,1.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b'I would have liked more instruction and to understand the course concept better. There was a lot of open discussion,which can be good, but it felt as though their was no direction to the conversation and no concepts were learned.Professor Radhakrishnan was a good lecturer; she effortlessly stimulating and engaging class discussions. Weeklynegotiation role plays were a good way of learning, but to fully capitalize on the experience, I would\'ve preferred thatwe debriefed each role play in greater detail. It would\'ve helped if we had a set of notes to following along with as wewent through debriefing questions together.I found this course to be very helpful in the field of management mainly because the course material does not stackwith any other management course. The use of negotiations is social skill we must all learn as a businessmanwhether for salary or buying a car. This course not only allowed us to learn the theory behind it, but also let uspractice it in a controlled environment. The professor demonstrated outstanding knowledge in the field and was veryhelpful. She did a superb job with the \'participation coupons\' to engage the class in discussion about negotiations.The course material itself proved to be very useful and will be of continuous use in the future. I high recommend thiscourse and also recommend that it should be added on as an elective towards the management specialist program.My only negative comment is that the time slot is very late at night.class discussion is lively and helpful, many different thoughts!the timeline of this course is very unreasonable. It makes it difficult for us when the course is only 8 weeks and thefinal exam is at the end of April. It feels like the course was designed with longer preparing time than what we hadexperienced. Each class was very rushed and materials are not well presented. I realize the course content is moredescriptive but the professor was not clear on what she is expecting from us. When asked regarding how shewanted us to present our answers, the response was very vague and unclear. When grading our assignments, theanswers she looks for are very specific and has to be her words (even if it was the same thing described in differentways). After the assignments were returned to us, she refused to tell us the average and was mad at us for askingher about the average. She did not go over the assignment with us after it was returned and there are no commentsleft on the assignment for what we had done wrong. The overall experience of this course was unpleasant.She is insightful with the examples the instructor gives. I see this material to be useful in future.The professor talks too much and repeats the same thing a hundred times. She is very close minded and doesn\'thave an open mind when listening to the students. The grading is the course is very unfair and biased. Students withthe same answers received different grades and no marking scheme is provided. I don\'t think she is a goodprofessor for negotiation as she doesn\'t have a good approach to dealing with students. She always thinks she isright and doesn\'t give students the opportunity to speak the truth or what they think. Horrible professor.not much useful concepts .. readings were useless could teach the whole course to someone in 1 hr bc its that easyOne of the worst courses I\'ve taken at UTM. I was actually interested in it since the topic seemed beneficial, but afterthe first few classes I regretted taking it instantly. The Professor was not professional at all, not worthy to be UofTprofessor. She barely taught - the entire 8 weeks consisted of the students just forming into groups and arguingcases and then taking up answers with her. She never provided examples of how to negotiate, and some of hernegotiation strategy points she made in class seemed unethical (lying to a car buyer about the car not having been inan accident even if it has?!)The method of evaluation for students was poor - one written report that was marked unnaturally hard. She also didnot give us any exam format pointers or study tips! The late timing of the class (6-9pm) on a Monday evening wasalso not helpful and participation became a bore especially with handing out ""tickets"" to participating students. It isalso very unhelpful to have a final exam an entire month after the course has ended!! Either we should have an in-class exam when the lectures finish in 8 weeks or have no exam at all. I definitely would not recommend this course which is sad because the course description actually seemedinteresting.8. Please comment on any assistance that was available to support your learning inthis course.'",b'CommentNot very much assistance at the school.she was okay'
JRE420H1,UTSG,Winter_2017,LEC0103,55,31,2.9,3.2,3.4,2.9,3,2.8,3.1,3.2,3.2,3,3,4,3,3,3,3,4,4,4,3,3,1.2,1.2,1,1.1,1.1,1.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b""Lectures were enjoyable and the class discussions were stimulating.I did not find the group project to be all that enjoyable. In the future, a limit should be placed on group size (e.g. three orfour students). Also, I think the groups should be diversified to include students from various engineering disciplines.Lectures were well done. Making the resources on Portal more organized would have been helpful, perhaps by havingthe lecture notes separate from the homework submission pages.The professor made the course content seem much less dull than it was.Instruction was done well and was enjoyable with a mix of lecture material and hands on activities. Emphasis wasplaced on the practical applications of lessons. More concrete information regarding exams could be used.Very boring. Too much time in class for so little concrete content. The bane of my existence for the past semesterProfessor was patient and understandingliked the in class activities such as sugar cube construction, manager vs employee, role play etc etc. Very helpful inexperiencing the real-life application of the theories. The assignments and project was not that helpful. I found the inclass participation writings are even more reflective and helps me understand the subject materialmehGoodMaterial was good but assignments were confusing, lacked structure, excessive, and did not help me in understandingmaterial. I enjoyed the in-class participation activities part of the course and felt it was much more helpful thanassigments.I like coming to the lectures, however I think the slides could be a bit more structured to suit Engineering students.The course was quite interactive which made it interesting to attend. It would have been better if the marks that we get inthe course are regularly updated so that students have an idea of how well they are doing in the course.- For assignment 1, we did not receive any proper instructions on how the assignment should be completed until aweek before the submission date, and even then, the Professor was absent from class and she left the TAs in charge.The assignment was essentially a personality essay that required academic research, the course quickly went from afun weekly organizational lecture to this academic paper and we had no preparations for it.- The classes were long and tedious at times.Lectures were stimulating all due to Prof. Radhakrishnan. Discussions were informative and entertaining. The only thing I can suggest for improvements are the instructions in the assignments. Some parts are very vague andconfusing. Overall a fantastic course to those whom actually wants to learn about the subject.The role-play and in-class activities were stimulating for students. However, there are times where I did not learn muchout of the session as we were expected to answer questions right after activities.Also, I felt that the tutorial sessions following the lecture times are not utilized fully as it was just a filler time when thelectures become longer.She's okay, but i did not appreciate having to do all of the in-class writing. I get that people won't show up for lecturewithout it, but if the content was a little better than that wouldn't be an issue.The instruction was well organized and well paced but I feel that it was intentionally kept to a very basic level whichended up degrading the relevance of this course.Great instructionProfessor was knowledgeable, but I didn't feel like I was able to connect the material into real life.Instructions for assignments/project were not very clear. General guidelines were given on paper but the Professornever covers them in class. Only mentioning when it is due. She also does not provide assistance in interpreting theassignment, and refers to the TA's when asking any question regarding them.There are in-class assignments every lecture where we reflect on questions written a slide. On her slides, theProfessor has many rhetorical questions written, but it is not clear which ones are to be for the in-class assignments.The Professor also talks over her slides making it difficult to concentrate for the in-class assignment. I have requestedthe Professor to indicate which slides are for the assignment on the slide itself, but she seems to avoid the suggestion.   PEOPLE MGMT. & ORG. BEHAVIOUR JRE420H1-S-LEC0103 - Phanikiran Radhakrishnan - 4/13/2017 5/12It was not clarified when the course project would be given to the students. The students only had about 3 weeks to dothe whole project, when more time could easily been given.For a course called 'Organisational Behaviour' this course was highly unorganised.8. Please comment on any assistance that was available to support your learning in thiscourse.""","b""CommentThe TAs were helpful.2 TA's were there every class and always were available to help when there were assignments/projects to doN/AThe TAs were always there to answer questionsThe assignment&project feedback was not as good as in class writing feedback.nonegreat support from Prof and TA, always happy to answer questions.The TAs were good and helpful which helped with the asssignments.The TAs were incredibly supportive of any issues that we had.GreatProf. R. gave prompt assistance in forms of direct e-mail replies to my concerns.They're whateverTAs were somewhat helpful, but could have provided more feedback on the assignments.When asked about guidance for one of the assignments, the Professor refused to answer and referred to the TA theanswer. I went to the TA and she referred me to the other TA for the answer. It seemed like neither the Professor, norone of the TA's knew how to answer the question regarding the assignment.The Professor also did not have office hours. The TA's were somewhat helpful if they knew how to answer thequestions. The only thing the Professor was helpful in were any clarifications in the lecture.I also could not switch lectures since both courses (0101-0102 and 0103) had different syllabuses!All in all, very poor assistance was available to support my learning.   PEOPLE MGMT. & ORG. BEHAVIOUR JRE420H1-S-LEC0103 - Phanikiran Radhakrishnan - 4/13/2017 6/12Part B1. Divisional Items9. The course helped me improve my ability to formulate, analyze and solve problems.Statistics ValueMean 2.7Median 3.0Mode 4Standard Deviation +/-1.210. The instructor (Phanikiran Radhakrishnan) related course concepts to practicalapplications and/or current research.Statistics ValueMean 3.7Median 4.0Mode 4Standard Deviation +/-1.111. The course expanded my understanding of the ethical and environmental issuesconcerning engineering in society.Statistics ValueMean 3.0Median 3.0Mode 3Standard Deviation +/-1.1   PEOPLE MGMT. & ORG. BEHAVIOUR JRE420H1-S-LEC0103 - Phanikiran Radhakrishnan - 4/13/2017 7/1212. The instructor (Phanikiran Radhakrishnan) explained how the course conceptsrelated to other courses.Statistics ValueMean 3.0Median 3.0Mode 4Standard Deviation +/-1.113. The feedback I received on tests, assignments, labs, and/or projects providedguidance on how to improve my understanding of course materials.Statistics ValueMean 2.9Median 3.0Mode 4Standard Deviation +/-1.414. The instructor (Phanikiran Radhakrishnan) explained what students are expected tolearn in the course.Statistics ValueMean 3.5Median 4.0Mode 4Standard Deviation +/-1.1   PEOPLE MGMT. & ORG. BEHAVIOUR JRE420H1-S-LEC0103 - Phanikiran Radhakrishnan - 4/13/2017 8/12What is your overall rating of the instructor (Phanikiran Radhakrishnan) as a teacher?Statistics ValueMean 3.3Median 4.0Mode 4Standard Deviation +/-1.1   PEOPLE MGMT. & ORG. BEHAVIOUR JRE420H1-S-LEC0103 - Phanikiran Radhakrishnan - 4/13/2017 9/12Section 3. Comparative DataPart A. Core Institutional Items"""
JRE420H1,UTSG,Fall_2014,LEC0103,55,18,2.4,2.5,2.8,2.7,2.8,2.3,3.1,3.2,3.2,3,2,3,3,2.5,2.5,3,"1,2","1,4","1,4",4,3,1.3,1.3,1.5,1.3,1.5,1.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b'I liked the simulations and the exercises we conducted! It was a fun course overall. It would be a nice idea in the futureto perhaps to invite guest lecturers - people or students from this course who have taken management positions.I would like more theory. Discussion is good but more theory to build on is needed.The Instructor was good but the lectures were too long.was okUnorganized, nonpractical, and not applicable to a course related to the engineering business minor. The professorwas a researcher, which as engineering students, is not the type of viewpoint I was expecting to learn about OB forprofessor is very chill, lecture slides don\'t have much course material, suggested readings have very little correlationswith the lecture material, do not like the role play activitiesThis course was one of the most subjective and biased courses that I have ever taken in all of my educationbackground. The professor is very biased and subjective and is often very quick to shut down other point of views basedon her own beliefs. It took the Professor a whole month to get my assignment remarked when professors usually returnremarked assignments in 1-2 weeks. She lacks professionalism and real life work experience. It is really hard to listenand trust what you are learning when the person that is teaching you has no professional experience in thecorporate/work life. Somebody with actual management experience will be better suited teach about peoplemanagement.The professor was good and approachable. However, I did not like the grading system for the written assignmentbecause Anny (TA) and ""the other TA"" marked in a different way. Also, the course is heavily based on talking to studentsabout scenarios, problems or basic concepts and it was hard to understand the other TA.Great. TA\'s with industry knowledge incredibly helpful.Lack of in-depth knowledge was shared and applicability to practical situations. Most of the material was mis-leadingand did not provide a balanced view on how organizations operate.The professor hardly taught us any useful knowledge that could be applied in this field. All conclusion of in classquestions were discussion among peers which is highly inappropriate. lectures were highly un-informative as theprofessor only read the slides that she pre-made and went in circles which do not answer her own question. All classactivity was somewhat interactive but highly unnecessary as professor sometimes simply walk out while students areengaging.The instructor was good, but the 3 hours lectures were long and I was bored with the content after the first 30 minutes.8. Please comment on any assistance that was available to support your learning in thiscourse.'","b""CommentThe TAs and Professors were really helpful. Furthermore, the lecture slides were pretty suffice.Email correspondence was very prompt.The TA's were really good, helpful and fun to work with.was okAnny Fong is literally the best TA I've had at this university and would've taught the course in a more effective capacityGood teaching assistants that tried to balance and help students understand the knowledge we learnt from a practicalstandpoint.The TA Anny, was amazingly helpful and always reachable.   PEOPLE MGMT. & ORG. BEHAVIOUR JRE420H1-F-LEC0103 - Phanikiran Radhakrishnan - 03/12/2014 6/13Part B1. Divisional Items9. The course helped me improve my ability to formulate, analyze and solve problems.Statistics ValueMean 2.3Median 2.5Mode 1Standard Deviation +/-1.410. The instructor (Phanikiran Radhakrishnan) related course concepts to practicalapplications and/or current research.Statistics ValueMean 3.1Median 3.0Mode 4Standard Deviation +/-1.411. The course expanded my understanding of the ethical and environmental issuesconcerning engineering in society.Statistics ValueMean 2.2Median 2.0Mode 1Standard Deviation +/-1.4   PEOPLE MGMT. & ORG. BEHAVIOUR JRE420H1-F-LEC0103 - Phanikiran Radhakrishnan - 03/12/2014 7/1312. The instructor (Phanikiran Radhakrishnan) explained how the course conceptsrelated to other courses.Statistics ValueMean 2.1Median 2.0Mode 1Standard Deviation +/-1.113. The feedback I received on tests, assignments, labs, and/or projects providedguidance on how to improve my understanding of course materials.Statistics ValueMean 2.6Median 2.5Mode 2, 3Standard Deviation +/-1.214. The instructor (Phanikiran Radhakrishnan) explained what students are expected tolearn in the course.Statistics ValueMean 3.0Median 3.0Mode 3Standard Deviation +/-1.2   PEOPLE MGMT. & ORG. BEHAVIOUR JRE420H1-F-LEC0103 - Phanikiran Radhakrishnan - 03/12/2014 8/13What is your overall rating of the instructor (Phanikiran Radhakrishnan) as a teacher?Statistics ValueMean 2.6Median 3.0Mode 3Standard Deviation +/-1.3Part B2. Additional ItemsLEC_01 The instructor (Phanikiran Radhakrishnan) used appropriate means to deliverthe material in a clear and organized manner.Statistics ValueMean 3.0Median 3.0Mode 2, 4Standard Deviation +/-1.2   PEOPLE MGMT. & ORG. BEHAVIOUR JRE420H1-F-LEC0103 - Phanikiran Radhakrishnan - 03/12/2014 9/13Section 3. Comparative DataPart A. Core Institutional Items"""
Organizational Behaviour,UTM,Fall_2016,LEC0101,56,16,2.9,2.5,3.2,2.6,2.6,2.4,3.1,3.2,3.2,3,2,4,2.5,3,2.5,4,2,4,4,3,3,1.2,1.1,1.4,1.2,1,1.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b""GoodWhat the professor teaches in class is not relevant to what she testes in assigments and midterm. At lecture, she justread the slides therefore there isnt an incetive to go to lecture and learn something out of her lecture slides. The smallhomeworks assignted every week is not useful and necessary as a practice of the materials that we are learning noruseful to enhance our knowledge for this course. The homeworks were waste of time and waste of papers since weneed to print ir to the lect and we didnt even used it.Very knowledgeable professor, encourages class discussion and interactive learning.Lecture was a drag to go through, and It felt as though I learned next to nothing.Lecture themselves were okay with a lot of unnecessary videos semi-related to the topics being spoken about. I wishthe course was more about the behaviour of employee's within an organisation and less about leadership (especiallysince the course is called organisational behaviour). Felt more like a psychology course than a management course.emails were not always answered/ replied toThe exam was a bit off than the expectations, especially the multiple choice, it was tricky figuring out what kind ofanswer you were looking or asking forNot clear, not useful.8. Please comment on any assistance that was available to support your learning in thiscourse.""","b'CommentProfessor\xef\xbc\x8cUTM\xc2\xa0library\xef\xbc\x8cMy\xc2\xa0group\xc2\xa0membersAssistance was not much since we couldnt even take our midterm paper back because she said she needed to repeatsome questions to future lectures and the Tas are only found theoughtout emails. Professor started to hold on officehrs but later on she cancelled it because noone came and only holding it online which i dont think is a good idea forsome people who can explain and ask better face to face meetingEmails to and from the professor by other students seemed unhelpfulNever contacted for support, so would not know.No assistance.'"
MGM464H5,UTM,Fall_2017,LEC0101,14,5,2.6,2.6,2.2,2.2,2.2,1.8,3.1,3.2,3.2,2,2,2,2,2,1,2,2,"1,2",2,2,1,1.5,1.5,1.6,1.1,1.1,1.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b'\xe2\x80\x93 the course was confusing at times\xe2\x80\x93 did not like the teaching style\xe2\x80\x93 not the best professor, although she triesThe course is not laid out in a manner where it covers everything. The professor doesnt know how to do severalcalculations and is unprepared before teaching that concept where she asks students to "" google "" the content andlearn it themselves. The final exam covers all the chapters in the textbook in a case analysis format which has not beenproperly taught to the students. The assignments don\'t correspond to the way we are getting tested on the exam. Theprofessor shows lack of professionalism while teaching.Conducted class in a discussion\xe2\x80\x93based style. Useful for students who read the material and contributedShe is very unorganized. Lectures are all over the place, does not know how to teach.8. Please comment on any assistance that was available to support your learning in thiscourse.'","b'Comments\xe2\x80\x93 answered any questions we had, but often times answers were more confusing then helpfulThere was no assistance provided, the assignments and simulation we were tested on were based on trial and error,several concepts were learned by google searching and teaching it to ourselves.She provided no assistance and tells us to google basic concepts that she should be teaching herself.Recruitment & Selection MGM464H5-F-LEC0101 - MGM464H5 - Phanikiran Radhakrishnan - 12/4/20174/14   '"
Negotiation Skills,UTSC,Fall_2018,LEC30,22,9,4.6,4.7,4.8,4.6,4.8,4.6,4.8,3.6,4.7,5,5,5,5,5,5,5,5,5,5,5,5,0.5,0.5,0.4,0.7,0.4,0.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b""Radhakrishnan provided a very hands\xe2\x80\x93on experience in this course, allowing us to learn from theoretical concepts and applyingthem to practical negotiations every week. This was helpful in learning and becoming familiar with the key concepts (i.e. learning bydoing).The prof encouraged students to take leadership in the course and initiate the negotiation.It was very well organized as each week's lessons built on each other. It definitely helped me to access and learn overall what Ineeded to learnVery engaging professor and very methodical in her way of teaching.8. Please comment on any assistance that was available to support your learning in this course.Comments""","b'Professor before and after lecture, during breaks, throughout class, office hours.The prof encouraged students to speak with her regarding how to improve our studying habits for the final.The different avaliabilities that the professor had were very goodAll the documents were online so very useful.'"
JRE420H1,UTSG,Winter_2019,LEC0103,56,11,3.2,3.3,3.2,3.1,3.4,3,4.8,3.6,4.7,3,3,3.5,3,3,3,3,"2,3",4,2,3,"2,3",1.1,1.2,1.5,1.4,1.1,1.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b""We covered the slides too quickly and did not get a good sense of what we needed to understand for the assessments.Lectures were interesting, as were the activities conducted. However the content felt overwhelming in volume and it was difficult toextract where to find the information I sought and make connections between the different units as well as connecting the concept toapplications.The journals became excessive to the point where I was unable to focus on material being taught and instead was too preoccupiedby answering all questions \xe2\x80\x93 they did not facilitate learning.Best JRE teacher in U of T!Instruction consisted of flipping through slides. Quality of instruction clearly differed from the other lecture section, which was overallvery satisfied with the course. Our section also used an entirely different set of assignments and grading schemes from the othersection that put us at a disadvantage \xe2\x80\x93 even our midterm was different. Whereas the other section had a mixed multiple choice andwritten midterm, ours was entirely written and objectively much more difficult (hence the 7% boost added to everybody's mark...)The course needs to be standardized. Students should not have an advantage just because they got a professor that uses adifferent grading scheme.I really love how professor listen attentively to what individual student saying during lectures.8. Please comment on any assistance that was available to support your learning in this course.Comments""",b'The TA was very helpful when answering questions about the assignments and workloads. She was great!The professor is very helpful and quick in responding when seeking help outside of lecture time. The workshops for theassignments were also useful in directing and focusing effort where needed to complete them efficiently.Extend journal questions due day!Radhakrishnan_Phanikiran_JRE420H1_PEOPLE MGMT. & ORG. BEHAVIOUR JRE420H1-S-LEC0103_4/12/2019 4/17Part B1. Divisional Items'
JRE420H1,UTSG,Winter_2015,LEC0103,52,16,2.4,2.1,2.3,2.4,2.5,2.3,4.8,3.6,4.7,3,2,2,2,2,2,3,2,1,1,1,"1,3",1.1,1,1.4,1.6,1.7,1.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b'The worst lecturer in my life.The professor was nice but there was a lack of deeper theoretical understanding of the concepts in the course. Theywere not appropriately delved into.Extremely disorganized. Instructions unclear. Class pacing is all over the place. Expectations for assignments andprojects are not specified correctly.It\'s got interesting subject matter but the slides and documentation is presented in a very sloppy way in my opinion. Iwould have preferred more concise and focussed slides or even just a 3-5 page handout for each lecture outlining themain points so I could focus more on the discussion in class.The content coverage is kind of slack, but the structure is solid. I like the way how this course is organized, but too much""common sense"" instead of theories, quite practical though.The instructor was of low quality in comparison to the other instructors I\'ve had. Poor organizational skills. Poorpresentation skills. Did not provide stimulating projects/assignments for the students. I think she needs to be replacedQuality of the instruction was okay. The number of powerpoint and extra sheets listed on blackboard for a given lectureis a bit absurd. It was very hard to follow lectures as the instruct would constantly flip between materials without sayingwith set of slides she was currently using. All of the slides should be in one powerpoint and in the order in which theyare going to be presented. Further, our instructor did not cover all the material that was testable, instead she said toread the book, but did not provide how much of the book content we should know. The tutorial role play was not wellexecuted, and the assignments could be more reflective of the material we are learnign and less research based.I really appreciated the role-play activities, since they allowed us to practice what we learned in a controlled environmentso that we may improve on our behaviours, mentalities and approaches for real business encounters. I alsoappreciated the concise lectures, which were wholly practical and weren\'t spammed with the noise of abstractedtheories and what not. Prof. Radhakrishnan connected with us and showed her eagerness to teach us and to hear ourvoices as well, which motivated me to learn the content and to apply the positive points that I have taken away from thecourse. Overall, Prof. Radhakrishnan was engaging and made the course relevant to the students.Overall poor teaching from the professor and learning progress was low. Three main issues exist in current JRE420 course:1. Professor Radhakrishnan showed low teaching passion and negative professional attitude -- finishing class earlyfrequently; never showed up in tutorial (leave early); loosely organized course materials and course teaching.2.Inappropriate grading scheme of the course -- with 30% focus solely on one team oral presentation which does notbase on any previous written assignment. One error of an oral sentence could lead to significant change in final marksof this 400+ course. Therefore the grading on this presentation tend reflect low justice and high randomness.3. Grading process of this 30% presentation is also unreasonable -- the only two TAs were divided into twopresentations to grade the presentation individually (two sessions have different presentations going onsimultaneously) which leads to less reference in grading. And Professor Radhakrishnan herself did not show up in thepresentation session. (at least not showed up the whole time at my group\'s presentation session)8. Please comment on any assistance that was available to support your learning in thiscourse.'","b'CommentTAs were helpful.Teaching Assistants are not helpful at all. Example when asked for advice on good websites for searching researcharticles: ""just search harder"". Insulting responses.TA\'s were cool and chill to discuss ideas about the course with, I did love the open way of communication withinstructors and TA\'s in this course, made it fun to discuss.For lectures, I hope the instructor could emphasize more on introducing theories so that students could build up a morestructural and systematic understanding of the course material, instead of saying ""WOW, that\'s quite interesting, I neverthough that way"",and forgot what it was about after class.Anny and Teng Teng were extremely resourceful and approachable, and acted (quite literally) as pillars for the coursewith their own instruction during tutorials. They offered valuable feedback on role-plays and assignments, and showed   PEOPLE MGMT. & ORG. BEHAVIOUR JRE420H1-S-LEC0103 - Phanikiran Radhakrishnan -   6/15as much eagerness and energy as Prof. Radhakrishnan. They are definitely indispensable for this course (unfortunatefor those in other lecture sessions).Seems self learning is the best approach in doing this course.   PEOPLE MGMT. & ORG. BEHAVIOUR JRE420H1-S-LEC0103 - Phanikiran Radhakrishnan -   7/15Part B1. Divisional Items9. The course helped me improve my ability to formulate, analyze and solve problems.Statistics ValueMean 2.4Median 2.5Mode 3Standard Deviation +/-1.010. The instructor (Phanikiran Radhakrishnan) related course concepts to practicalapplications and/or current research.Statistics ValueMean 2.6Median 2.0Mode 2Standard Deviation +/-1.411. The course expanded my understanding of the ethical and environmental issuesconcerning engineering in society.Statistics ValueMean 2.1Median 2.0Mode 1, 2Standard Deviation +/-1.3   PEOPLE MGMT. & ORG. BEHAVIOUR JRE420H1-S-LEC0103 - Phanikiran Radhakrishnan -   8/1512. The instructor (Phanikiran Radhakrishnan) explained how the course conceptsrelated to other courses.Statistics ValueMean 1.9Median 2.0Mode 1Standard Deviation +/-1.113. The feedback I received on tests, assignments, labs, and/or projects providedguidance on how to improve my understanding of course materials.Statistics ValueMean 2.4Median 2.0Mode 1Standard Deviation +/-1.514. The instructor (Phanikiran Radhakrishnan) explained what students are expected tolearn in the course.Statistics ValueMean 2.4Median 2.0Mode 1Standard Deviation +/-1.5   PEOPLE MGMT. & ORG. BEHAVIOUR JRE420H1-S-LEC0103 - Phanikiran Radhakrishnan -   9/15What is your overall rating of the instructor (Phanikiran Radhakrishnan) as a teacher?Statistics ValueMean 2.3Median 2.0Mode 1Standard Deviation +/-1.3   PEOPLE MGMT. & ORG. BEHAVIOUR JRE420H1-S-LEC0103 - Phanikiran Radhakrishnan -   10/15Part B2. Additional ItemsLEC_01 The instructor (Phanikiran Radhakrishnan) used appropriate means to deliverthe material in a clear and organized manner.Statistics ValueMean 2.3Median 1.5Mode 1Standard Deviation +/-1.6   PEOPLE MGMT. & ORG. BEHAVIOUR JRE420H1-S-LEC0103 - Phanikiran Radhakrishnan -   11/15Section 3. Comparative DataPart A. Core Institutional Items'"
